;modepart;part number;category;model unit;nama;satuan
UKEND001;unit;S/N:J-30701;KOMATSUPC200-7;EXCAVATOR;EXCAVATOR;pcs
UKEND002;unit;S/N:861583008166;KOMATSUBW 211D-40;VIBRATOR COMPACTOR;VIBRATOR COMPACTOR;pcs
UKEND003;unit;S/N:4TJ00240 - 4P427;CATERPILAR 120G - 3304;GRADER;MOTOR GRADER;pcs
UKEND004;unit;S/N : 101490900102;BOMAG BW 141AD2;TANDEM VIBRATOR;TANDEM VIBRATOR ROLLER I;pcs
UKEND005;unit;S/N : 101490900121;BOMAG BW 141AD2;TANDEM VIBRATOR;TANDEM VIBRATOR ROLLER II;pcs
UKEND006;unit;S/N : ........;INGER SOLRANDSD 100-B;VIBRATOR COMPACTOR;VIBRATOR COMPACTOR;pcs
UKEND007;unit;S/N : NFW225-0051;NIIGATA 0220;FINISHER;PHINISHER;pcs
UKEND008;unit;S/N : ........;SAKAIR 3068;TYRE ROLLER;TYRE ROLLER;pcs
UKEND009;unit;S/N : 1079,REF : 277939E;KAESER M76, TYPE FA141;COMPRESSOR;"COMPRESSOR I (Diesel Engine Mode)";pcs
UKEND010;unit;S/N: LR-AUG 650992,;ATLAS COPCO,Type : 1614426580A7,;COMPRESSOR;"COMPRESSOR II(Diesel Engine Mode)";pcs
UKEND011;unit;S/N : 0022356,;KRISBOW KW 1309,;COMPRESSOR;"COMPRESSOR III( Dynamo Electric Mode)";pcs
UKEND012;unit;S/N: R - 4597,;MIKASA SANGYO, Model : MCD-214V,;CONCRETTE CUTTER;CONCRETE CUTTER;pcs
UKEND013;unit;NO. RANGKA: MHPKD211H5K000287;NISSAN PKD 211 HHRR, Tahun 2006;DUMP TRUCK;"DUMP TRUCK NISSAN 6 RODA (I) KT 8812 AO";pcs
UKEND014;unit;NO. RANGKA: MHPKD211H5K000286;NISSAN PKD 211 HHRR, Tahun 2006;DUMP TRUCK;"DUMP TRUCK NISSAN 6 RODA (II) KT 8813 AO";pcs
UKEND015;unit;NO. RANGKA: MHPKD211H5K000285;NISSAN PKD 211 HHRR, Tahun 2006;DUMP TRUCK;"DUMP TRUCK NISSAN 6 RODA (III) KT 8814 AO";pcs
UKEND016;unit;NO. RANGKA: MHPKD211H4K000294;NISSAN PKD 211 HHRR, Tahun 2004;DUMP TRUCK;"DUMP TRUCK NISSAN 6 RODA (IV) KT 8860 LD";pcs
UKEND017;unit;NO. RANGKA: MHPKD211H4K000297;NISSAN PKD 211 HHRR, Tahun 2004;DUMP TRUCK;"DUMP TRUCK NISSAN 6 RODA (V) KT 8861 LD";pcs
UKEND018;unit;NO. RANGKA: MHPKD211H4K000314;NISSAN PKD 211 HHRR, Tahun 2004;DUMP TRUCK;"DUMP TRUCK NISSAN 6 RODA (VI) KT 8862 LD";pcs
UKEND019;unit;NO. RANGKA: CW620GNT10529;NISSAN CW520HN, Tahun 1997;TRAILER;"TRAILER  NISSAN KT 8827 AL";pcs
UKEND020;unit;NO. RANGKA: MMFE349E1R-023438;MITSUBISHI FE 349, Tahun 2001;;"DUMP TRUCK  COLT  DIESEL MITSUBISHI  6 RODA KT 8862 AI";pcs
UKEND021;unit;NO. RANGKA: MMFE349E1R-023439;MITSUBISHI FE 349, Tahun 2001;;"WATER TANK  COLT  DIESEL MITSUBISHI  6 RODA KT 8861 AI";pcs
